ID,Name,Age,Salary,Join_Date,Department,Education_Level,Work_Experience,Performance_Score,Bonus,Remote_Work,Job_Satisfaction,Customer_Satisfaction
1,Hank,39,,2015-01-01,IT,Master's,,5,€$6566,1,3.6684452625220234,7
2,Eve,33,63198.0,2015-01-02,HR,High School,23.0,4,4969,1,0.42332769435067896,3
3,David,41,43065.0,2015-01-03,Finance,Bachelor's,16.0,4,6420,0,1.7595626085382547,6
4,David,50,65048.0,2015-01-04,IT ,Bachelor's,20.0,3,1607,0,3.0003637771851617,6
5,Charlie,32,80992.0,2015-01-05,HR,High School,1.0,4,6674,0,2.425638784334023,2
6,Hank,32,50886.0,2015-01-06,IT ,Bachelor's,5.0,1,6888,0,11.399982587898775,9
7,Grace,50,85727.0,2015-01-07,IT,PhD,24.0,3,6332,1,4.62173173277218,8
8,Alice,42,77316.0,2015-01-08,Marketing,PhD,4.0,3,8356,0,4.464228877698449,2
9,Bob,30,58986.0,2015-01-09,IT,PhD,3.0,2,7786,0,1.3182854402888462,4
10,Alice,40,67877.0,2015-01-10,Marketing,PhD,29.0,4,3394,0,0.02529279818493168,9
11,Hank,30,93974.0,2015-01-11,Finance,Bachelor's,1.0,3,9070,1,3.977415039285402,4
12,David,30,81003.0,2015-01-12,IT,High School,11.0,3,6149,0,24.6745144890639,7
13,Alice,37,70131.0,2015-01-13,Finanace,Bachelor's,2.0,1,7289,0,1.5620173740306114,5
14,David,15,66434.0,2015-01-14,Finanace,Master's,5.0,4,3021,0,12.704649702644168,10
15,Hank,17,71149.0,2015-01-15,IT ,PhD,23.0,4,8784,1,0.45843311601211834,6
16,Alice,29,62323.0,2015-01-16,HR,Bachelor's,13.0,3,5598,0,1.055114879970287,1
17,Charlie,24,38428.0,2015-01-17,Marketing,PhD,7.0,4,4015,0,0.5616173499707694,4
18,David,38,100632.0,2015-01-18,HR,High School,20.0,3,6310,0,1.9340767773160243,5
19,Eve,25,72329.0,2015-01-19,IT,High School,20.0,4,3048,1,4.783373057838022,6
20,Bob,20,75972.0,2015-01-20,IT,High School,25.0,1,6969,0,1.2495555294010074,6
21,Bob,49,69131.0,2015-01-21,Finanace,Master's,13.0,3,$1893,1,7.100696906958568,5
22,Hank,32,58973.0,2015-01-22,IT ,Master's,28.0,4,7087,0,2.3612556345502607,3
23,Alice,35,67211.0,2015-01-23,IT,Master's,2.0,5,3933,0,1.878846430878808,2
24,Hank,20,46009.0,2015-01-24,IT ,Master's,15.0,3,3281,0,4.639894201948494,7
25,Alice,29,104156.0,2015-01-25,Marketing,High School,14.0,4,9264,0,0.32089706658384726,1
26,Eve,36,51482.0,01/15/2018,HR,High School,6.0,4,2380,0,4.458376856819617,5
27,Bob,23,54520.0,2015-01-27,IT,Bachelor's,14.0,5,1483,0,0.8349858587789049,4
28,Frank,38,63396.0,2015-01-28,Finance,Master's,12.0,3,4779,0,0.9888997260143135,7
29,Frank,28,89321.0,2015-01-29,Finanace,PhD,5.0,3,7101,0,2.7447782901378157,2
30,Grace,32,70217.0,2015-01-30,HR,High School,14.0,4,5954,0,6.966356675697324,8
31,Grace,28,,2015-01-31,Finance,High School,16.0,1,6953,1,2.5911442985012894,9
32,Charlie,53,88815.0,2015-02-01,IT ,Bachelor's,3.0,2,7280,1,3.140474281495458,10
33,David,34,80965.0,2015-02-02,Marketing,Master's,21.0,2,1778,0,4.496301522664951,1
34,Hank,24,78076.0,2015-02-03,Finanace,Master's,26.0,4,4475,0,0.9005790629996524,5
35,Eve,43,80736.0,2015-02-04,Marketing,Bachelor's,21.0,1,5723,1,5.267445922097086,4
36,David,22,105915.0,2015-02-05,Marketing,Master's,26.0,4,7886,1,1.623649083604839,5
37,Charlie,37,102776.0,2015-02-06,Marketing,High School,13.0,3,7713,1,0.5795009659254212,9
38,Eve,15,59699.0,2015-02-07,Finance,Master's,14.0,1,9601,0,1.2928937799125475,3
39,Hank,21,94358.0,2015-02-08,IT,PhD,27.0,3,2059,0,0.8476104429448452,1
40,Bob,36,75747.0,2015-02-09,Finanace,Bachelor's,11.0,2,7373,0,0.7790865462737281,3
41,Grace,42,77486.0,2015-02-10,IT,Master's,,4,$8394,0,0.9962112511990586,4
42,Grace,36,44615.0,2015-02-11,Finanace,Master's,21.0,4,3309,0,0.5987601702375587,2
43,David,33,67444.0,2015-02-12,Finance,PhD,27.0,3,2600,0,3.3051671738255384,1
44,Eve,31,57807.0,2015-02-13,Finanace,PhD,9.0,1,3233,0,2.6024428253713463,1
45,Hank,20,82420.0,2015-02-14,Finanace,High School,5.0,4,8353,0,3.136140809474027,8
46,David,27,86066.0,2015-02-15,Marketing,Bachelor's,27.0,4,1351,0,1.2635248492399613,4
47,Frank,30,38882.0,2015-02-16,Finance,PhD,24.0,4,7469,0,4.405552566227108,2
48,Frank,45,69669.0,2015-02-17,Marketing,Bachelor's,8.0,4,9656,1,0.41643733616224754,10
49,Eve,38,86827.0,2015-02-18,Finance,Bachelor's,1.0,3,4166,1,2.5398512427399544,3
50,Eve,17,67199.0,2015-02-19,Marketing,Master's,3.0,4,6253,0,0.9666258260853531,8
51,Alice ,38,80935.0,2015-02-20,IT,PhD,8.0,3,€3209,1,2.2498504595146622,6
52,Bob,31,75267.0,2015-02-21,Finance,Master's,14.0,1,9747,0,1.1730768717181694,8
53,Eve,28,75124.0,2015-02-22,Finanace,Bachelor's,29.0,4,1299,0,4.689263097451615,10
54,Alice,41,65930.0,2015-02-23,IT ,Master's,12.0,5,4866,1,6.65671333824533,5
55,Frank,45,51751.0,2015-02-24,HR,Bachelor's,19.0,4,9547,0,4.071153117619422,3
56,Bob,44,53177.0,2015-02-25,HR,Master's,7.0,3,1563,0,0.5792390213754183,6
57,Alice,26,80640.0,2015-02-26,Finanace,Bachelor's,25.0,3,5888,0,0.964200157643732,10
58,Hank,31,70291.0,2015-02-27,HR,Bachelor's,27.0,3,2190,0,7.553209457519598,8
59,David,38,67922.0,2015-02-28,Marketing,Bachelor's,18.0,4,4210,0,1.7246001534332087,5
60,Charlie,44,63641.0,2015-03-01,Marketing,Master's,18.0,2,7378,0,8.499840915706805,5
61,Bob,30,,2015-03-02,IT ,High School,24.0,4,$9447,0,1.4949707472683482,3
62,Alice,33,85703.0,2015-03-03,Finance,High School,15.0,3,3418,1,9.095612046534214,3
63,Alice,23,64971.0,2015-03-04,HR,Bachelor's,10.0,4,3563,0,7.800507596822564,8
64,Frank,23,49884.0,2015-03-05,Finance,Master's,9.0,5,3951,0,3.241081619380899,1
65,Hank,43,81154.0,2015-03-06,IT ,PhD,7.0,3,8383,0,0.02659871292221506,4
66,Grace,48,66926.0,2015-03-07,Marketing,Master's,0.0,3,1269,1,1.5341507480680576,9
67,Grace,34,70470.0,2015-03-08,IT ,High School,9.0,4,7619,1,7.265292935808963,6
68,Hank,45,94113.0,2015-03-09,Finanace,PhD,29.0,3,6647,1,6.491347939531854,6
69,Bob,38,69691.0,2015-03-10,HR,Master's,17.0,4,9255,0,0.6225038463680839,10
70,Charlie,28,74337.0,2015-03-11,IT ,PhD,2.0,4,5555,0,1.5283921332535115,7
71,Hank,38,52316.0,2015-03-12,Finanace,Bachelor's,29.0,2,2042,0,5.414715187346545,7
72,Alice,50,66704.0,2015-03-13,Finanace,Bachelor's,10.0,4,6444,0,2.5873816786594603,6
73,Frank,34,79142.0,2015-03-14,IT ,Bachelor's,17.0,2,6003,0,5.637825140314392,9
74,Charlie,50,46669.0,2015-03-15,Finanace,Bachelor's,2.0,5,5188,1,5.255898414072798,8
75,Eve,8,73012.0,2015-03-16,IT,Master's,7.0,3,4088,0,7.141056401842781,8
76,Grace,43,71511.0,2015-03-17,HR,PhD,26.0,4,2646,1,0.3740397790274582,2
77,Bob,35,70619.0,2015-03-18,HR,Master's,26.0,3,1487,0,0.47071640741964915,7
78,Charlie,32,85557.0,2015-03-19,Finanace,PhD,27.0,3,4081,1,0.25931871631143094,1
79,Charlie,35,75016.0,2015-03-20,Finanace,Bachelor's,13.0,3,2747,0,8.21253780874453,10
80,Alice,15,92171.0,2015-03-21,IT,High School,5.0,4,9940,1,1.9339991034350095,8
81,Frank,32,55096.0,2015-03-22,HR,Master's,,4,$1527,0,0.199462163980405,3
82,Grace,38,72038.0,2015-03-23,Marketing,Bachelor's,13.0,4,2167,1,1.1637446165408805,9
83,David,49,71267.0,2015-03-24,Finanace,Master's,6.0,3,5610,0,1.2988757255078658,5
84,Charlie,29,53961.0,2015-03-25,HR,PhD,9.0,4,5472,0,4.975251503199326,7
85,Alice,26,84344.0,2015-03-26,IT,Bachelor's,14.0,4,8661,0,3.9894800019201115,7
86,Eve,29,104870.0,2015-03-27,Finanace,PhD,28.0,2,6804,0,3.507623022695875,9
87,Bob,44,69744.0,2015-03-28,IT ,High School,9.0,3,1483,0,0.06631830570344657,2
88,Charlie,38,77575.0,2015-03-29,Finanace,High School,21.0,3,1451,1,7.247120159143799,4
